,USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND_DIR,WIND_SPD,TEMP,DEW_POINT,ATM_PRES
107,722247,54785,2013,1,5,6,53,40.624,-74.669,30,290,2.6,0.6,-7.8,1018.1
108,722247,54785,2013,1,5,7,53,40.624,-74.669,30,290,4.6,0.0,-7.8,1019.1
109,722247,54785,2013,1,5,8,53,40.624,-74.669,30,290,5.1,0.0,-7.8,1019.7
110,722247,54785,2013,1,5,9,53,40.624,-74.669,30,999,2.1,-0.6,-8.3,1020.7
111,722247,54785,2013,1,5,10,53,40.624,-74.669,30,999,1.5,0.0,-7.8,1021.5
112,722247,54785,2013,1,5,11,53,40.624,-74.669,30,290,2.1,0.0,-7.2,1022.4
113,722247,54785,2013,1,5,12,53,40.624,-74.669,30,999,0.0,0.6,-7.2,1023.6
114,722247,54785,2013,1,5,13,53,40.624,-74.669,30,999,1.5,1.7,-6.1,1024.6
115,722247,54785,2013,1,5,14,53,40.624,-74.669,30,310,3.1,2.8,-6.1,1025.2
116,722247,54785,2013,1,5,15,53,40.624,-74.669,30,300,6.7,3.9,-6.1,1025.8
117,722247,54785,2013,1,5,16,53,40.624,-74.669,30,320,5.1,5.0,-6.7,1024.2
118,722247,54785,2013,1,5,17,53,40.624,-74.669,30,330,3.6,6.1,-6.7,1024.3
119,722247,54785,2013,1,5,18,53,40.624,-74.669,30,300,3.1,6.1,-6.7,1023.5
120,722247,54785,2013,1,5,19,53,40.624,-74.669,30,999,0.0,6.1,-6.7,1023.8
121,722247,54785,2013,1,5,20,53,40.624,-74.669,30,999,1.5,5.0,-6.7,1023.9
122,722247,54785,2013,1,5,21,53,40.624,-74.669,30,220,2.1,1.7,-5.6,1024.2
123,722247,54785,2013,1,5,22,53,40.624,-74.669,30,999,0.0,1.7,-6.1,1024.7
124,722247,54785,2013,1,5,23,53,40.624,-74.669,30,999,0.0,-1.7,-5.6,1025.0
125,722247,54785,2013,1,6,0,53,40.624,-74.669,30,999,0.0,-3.3,-6.1,1024.3
126,722247,54785,2013,1,6,1,53,40.624,-74.669,30,999,0.0,-3.3,-6.1,1024.4
127,722247,54785,2013,1,6,2,53,40.624,-74.669,30,999,0.0,-3.9,-5.6,1023.8
128,722247,54785,2013,1,6,3,53,40.624,-74.669,30,999,0.0,-2.2,-5.0,1023.5
129,722247,54785,2013,1,6,4,53,40.624,-74.669,30,999,0.0,-1.7,-5.0,1023.4
130,722247,54785,2013,1,6,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
131,722247,54785,2013,1,6,5,53,40.624,-74.669,30,999,0.0,-1.7,-4.4,1023.3
132,722247,54785,2013,1,6,6,53,40.624,-74.669,30,999,0.0,-1.7,-3.3,1022.8
133,722247,54785,2013,1,6,7,53,40.624,-74.669,30,999,0.0,-1.1,-3.9,1021.9
134,722247,54785,2013,1,6,8,53,40.624,-74.669,30,999,0.0,-1.1,-2.8,1021.2
135,722247,54785,2013,1,6,9,53,40.624,-74.669,30,999,0.0,-0.6,-2.8,1019.9
136,722247,54785,2013,1,6,10,0,40.624,-74.669,30,999,0.0,-1.0,-3.0,9999.9
137,722247,54785,2013,1,6,10,39,40.624,-74.669,30,999,0.0,0.0,-2.0,9999.9
138,722247,54785,2013,1,6,10,53,40.624,-74.669,30,999,0.0,0.0,-2.2,1019.9
139,722247,54785,2013,1,6,11,53,40.624,-74.669,30,999,0.0,0.0,-2.2,1020.0
140,722247,54785,2013,1,6,12,31,40.624,-74.669,30,999,0.0,0.0,-2.0,9999.9
141,722247,54785,2013,1,6,12,53,40.624,-74.669,30,999,0.0,0.0,-1.7,1019.8
142,722247,54785,2013,1,6,13,2,40.624,-74.669,30,170,1.5,0.0,-2.0,9999.9
143,722247,54785,2013,1,6,13,23,40.624,-74.669,30,999,1.5,1.0,-2.0,9999.9
144,722247,54785,2013,1,6,13,53,40.624,-74.669,30,200,1.5,1.7,-0.6,1019.5
145,722247,54785,2013,1,6,14,53,40.624,-74.669,30,999,0.0,3.3,-0.6,1019.5
146,722247,54785,2013,1,6,15,53,40.624,-74.669,30,999,2.1,5.0,-1.1,1018.6
147,722247,54785,2013,1,6,16,53,40.624,-74.669,30,999,2.1,6.7,-2.2,1017.0
148,722247,54785,2013,1,6,17,53,40.624,-74.669,30,999,2.1,7.2,-2.8,1016.2
149,722247,54785,2013,1,6,18,53,40.624,-74.669,30,999,2.6,8.3,-3.3,1014.9
150,722247,54785,2013,1,6,19,53,40.624,-74.669,30,999,2.1,8.3,-3.9,1015.0
151,722247,54785,2013,1,6,20,53,40.624,-74.669,30,999,2.6,7.8,-3.3,1015.0
152,722247,54785,2013,1,6,21,53,40.624,-74.669,30,999,1.5,6.7,-3.9,1015.6
153,722247,54785,2013,1,6,22,53,40.624,-74.669,30,999,0.0,6.1,-3.9,1015.9
154,722247,54785,2013,1,6,23,53,40.624,-74.669,30,999,0.0,6.1,-3.3,1016.4
155,722247,54785,2013,1,7,0,53,40.624,-74.669,30,290,1.5,6.1,-2.8,1016.5
156,722247,54785,2013,1,7,1,53,40.624,-74.669,30,999,0.0,5.6,-2.8,1016.6
157,722247,54785,2013,1,7,2,53,40.624,-74.669,30,999,0.0,5.0,-2.8,1016.8
158,722247,54785,2013,1,7,3,53,40.624,-74.669,30,999,0.0,3.3,-2.8,1017.2
159,722247,54785,2013,1,7,4,53,40.624,-74.669,30,290,2.1,4.4,-2.8,1017.7
160,722247,54785,2013,1,7,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
161,722247,54785,2013,1,7,5,53,40.624,-74.669,30,999,0.0,2.8,-2.8,1018.2
162,722247,54785,2013,1,7,6,53,40.624,-74.669,30,280,1.5,1.7,-2.8,1018.9
163,722247,54785,2013,1,7,7,53,40.624,-74.669,30,999,0.0,-1.7,-3.9,1019.5
164,722247,54785,2013,1,7,8,53,40.624,-74.669,30,999,0.0,-1.1,-3.3,1020.0
165,722247,54785,2013,1,7,9,53,40.624,-74.669,30,999,0.0,2.2,-2.8,1020.8
166,722247,54785,2013,1,7,10,53,40.624,-74.669,30,999,0.0,0.0,-3.3,1021.7
167,722247,54785,2013,1,7,11,53,40.624,-74.669,30,280,1.5,3.3,-2.2,1023.0
168,722247,54785,2013,1,7,12,53,40.624,-74.669,30,999,0.0,2.2,-2.2,1024.2
169,722247,54785,2013,1,7,13,53,40.624,-74.669,30,999,0.0,5.0,-1.7,1025.3
170,722247,54785,2013,1,7,14,53,40.624,-74.669,30,330,6.2,6.1,-3.9,1026.1
171,722247,54785,2013,1,7,15,53,40.624,-74.669,30,310,6.2,6.7,-4.4,1026.8
172,722247,54785,2013,1,7,16,53,40.624,-74.669,30,340,5.7,7.2,-5.0,1026.8
173,722247,54785,2013,1,7,17,53,40.624,-74.669,30,999,2.6,7.8,-5.0,1027.0
174,722247,54785,2013,1,7,18,53,40.624,-74.669,30,999,2.6,7.8,-5.6,1027.0
175,722247,54785,2013,1,7,19,53,40.624,-74.669,30,310,3.6,7.2,-5.6,1027.6
176,722247,54785,2013,1,7,20,53,40.624,-74.669,30,290,2.6,6.7,-6.1,1028.3
177,722247,54785,2013,1,7,21,53,40.624,-74.669,30,999,0.0,4.4,-5.6,1028.8
178,722247,54785,2013,1,7,22,53,40.624,-74.669,30,999,0.0,1.1,-5.6,1028.9
179,722247,54785,2013,1,7,23,53,40.624,-74.669,30,999,0.0,-1.7,-5.6,1029.1
180,722247,54785,2013,1,8,0,53,40.624,-74.669,30,999,0.0,-2.2,-5.6,1029.2
181,722247,54785,2013,1,8,1,53,40.624,-74.669,30,999,0.0,-3.3,-6.1,1029.3
182,722247,54785,2013,1,8,2,53,40.624,-74.669,30,999,0.0,-3.9,-6.1,1028.9
183,722247,54785,2013,1,8,3,53,40.624,-74.669,30,999,0.0,-4.4,-6.7,1029.2
184,722247,54785,2013,1,8,4,53,40.624,-74.669,30,999,0.0,-5.0,-6.1,1029.1
185,722247,54785,2013,1,8,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
186,722247,54785,2013,1,8,5,53,40.624,-74.669,30,999,0.0,-5.6,-7.2,1029.2
187,722247,54785,2013,1,8,6,53,40.624,-74.669,30,999,0.0,-6.1,-7.2,1028.9
188,722247,54785,2013,1,8,7,53,40.624,-74.669,30,999,0.0,-6.7,-8.3,1028.4
189,722247,54785,2013,1,8,8,53,40.624,-74.669,30,330,1.5,-6.7,-8.3,1028.1
190,722247,54785,2013,1,8,9,53,40.624,-74.669,30,999,0.0,-7.2,-8.9,1028.4
191,722247,54785,2013,1,8,10,53,40.624,-74.669,30,999,0.0,-7.2,-8.9,1028.8
